visited_at,posts_read,mobile,time_read
2024-05-01,3,true,2806
2024-05-02,8,false,2290
2024-05-03,2,false,1839
2024-05-04,2,true,366
2024-05-05,4,true,2271
2024-05-06,4,true,1187
2024-05-07,4,true,395
2024-05-08,6,true,191
2024-05-09,10,false,257
2024-05-10,2,true,390
2024-05-11,4,true,1578
2024-05-12,8,true,624
2024-05-13,2,true,817
2024-05-14,2,true,71
2024-05-15,5,true,1241
2024-05-16,6,false,689
2024-05-17,2,true,1313
2024-05-18,0,false,650
2024-05-19,3,true,2550
2024-05-20,10,true,490
2024-05-21,12,true,1257
2024-05-22,7,true,1309
2024-05-23,16,true,1010
2024-05-24,6,true,212
2024-05-25,6,true,884
2024-05-26,7,true,340
2024-05-27,3,true,90
2024-05-28,3,true,65
2024-05-29,1,true,20
2024-05-30,3,true,1189
2024-05-31,8,true,241
2024-06-01,5,true,1090
2024-06-02,4,true,226
2024-06-03,15,true,1128
2024-06-04,2,true,253
2024-06-05,4,true,458
2024-06-06,4,true,62
2024-06-07,2,true,1531
2024-06-08,5,true,1409
2024-06-09,0,false,1543
2024-06-10,7,true,323
2024-06-11,13,true,103
2024-06-12,2,true,28
2024-06-13,1,true,60
2024-06-14,5,true,407
2024-06-15,7,true,287
2024-06-16,7,true,31
2024-06-17,9,true,2354
2024-06-18,8,true,2149
2024-06-19,5,true,415
2024-06-20,0,false,0
2024-06-21,2,true,0
2024-06-22,8,true,498
2024-06-23,3,true,513
2024-06-24,2,true,750
2024-06-25,3,true,1769
2024-06-26,18,true,1520
2024-06-27,1,true,1
2024-06-28,15,true,160
2024-06-29,2,true,3
2024-06-30,0,false,0
2024-07-01,3,true,72
2024-07-02,4,true,365
2024-07-03,1,true,20
2024-07-04,1,true,11
2024-07-05,4,true,33
2024-07-06,2,false,88
2024-07-07,10,true,1183
2024-07-08,10,true,721
2024-07-09,4,true,3189
2024-07-10,5,true,2703
2024-07-11,2,true,1313
2024-07-12,11,true,946
2024-07-13,14,true,755
2024-07-14,14,true,1553
2024-07-15,7,true,3639
2024-07-16,16,true,862
2024-07-17,5,true,944
2024-07-18,4,false,4235
2024-07-19,4,true,435
2024-07-20,3,true,1085
2024-07-21,4,true,1050
2024-07-22,22,true,811
2024-07-23,8,true,1065
2024-07-24,6,true,938
2024-07-25,1,true,541
2024-07-26,0,false,0
2024-07-27,2,true,287
2024-07-28,0,false,0
2024-07-29,0,false,0
2024-07-30,26,true,65
2024-07-31,10,true,203
2024-08-01,3,true,38
2024-08-02,14,true,737
2024-08-03,21,true,2568
2024-08-04,0,false,1791
2024-08-05,4,true,625
2024-08-06,0,false,0
2024-08-07,1,true,539
2024-08-08,2,true,872
2024-08-09,0,false,0
2024-08-10,9,true,1140
2024-08-11,2,true,67
2024-08-12,2,false,2736
2024-08-13,4,true,135
2024-08-14,2,false,401
2024-08-15,5,true,929
2024-08-16,3,true,808
2024-08-17,7,true,189
2024-08-18,1,true,241
2024-08-19,1,true,0
2024-08-20,4,true,338
2024-08-21,15,true,2847
2024-08-22,1,false,1720
2024-08-23,8,true,1398
2024-08-24,1,false,1810
2024-08-25,4,true,1115
2024-08-26,9,true,2124
2024-08-27,4,true,3053
2024-08-28,7,true,2558
2024-08-29,8,true,667
2024-08-30,8,true,1489
2024-08-31,4,true,1439
2024-09-01,6,true,2410
2024-09-02,14,true,3699
2024-09-03,1,true,5
2024-09-04,2,true,529
2024-09-05,3,true,783
2024-09-06,1,false,1324
2024-09-07,5,true,867
2024-09-08,5,true,1695
2024-09-09,10,true,2880
2024-09-10,20,true,3623
2024-09-11,4,false,1655
2024-09-12,11,true,942
2024-09-13,10,true,2619
2024-09-14,7,true,742
2024-09-15,9,true,3556
2024-09-16,10,true,1144
2024-09-17,3,true,404
2024-09-18,18,true,5129
2024-09-19,5,true,775
2024-09-20,7,true,1494
2024-09-21,10,true,2421
2024-09-22,4,true,1562
2024-09-23,6,true,846
2024-09-24,2,true,283
2024-09-25,8,true,1354
2024-09-26,7,false,1208
2024-09-27,2,true,1155
2024-09-28,5,true,981
2024-09-29,10,true,832
2024-09-30,16,true,804
2024-10-01,14,true,1259
2024-10-02,5,true,2300
2024-10-03,7,true,1184
2024-10-04,10,true,2492
2024-10-05,3,false,380
2024-10-06,0,false,251
2024-10-07,27,true,2765
2024-10-08,3,true,1013
2024-10-09,2,true,2195
2024-10-10,18,true,3629
2024-10-11,2,true,88
2024-10-12,1,true,58
2024-10-13,9,true,1611
2024-10-14,6,true,950
2024-10-15,4,true,620
2024-10-16,4,false,1038
2024-10-17,6,false,1390
2024-10-18,3,false,557
2024-10-19,3,true,90
2024-10-20,3,true,1413
2024-10-21,4,true,1216
2024-10-22,1,true,1352
2024-10-23,8,true,4421
2024-10-24,4,true,2979
2024-10-25,5,true,1781
2024-10-26,3,true,374
2024-10-27,4,true,1117
